scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
56;640;3;7;P+;PH4;19;11;254.5;627.9;483.5;238441;2930;0.349;0.012288155;2.46685734
14;158;2;5;P-;M28;20;3;244.4;628.4;395.8;195326;2560;0.375;0.013106294;2.571022332
14;157;2;4;P-;M28;20;3;280.1;591.9;391.8;182144;2444;0.383;0.013417955;2.112956597
14;159;2;6;P-;M28;20;3;161.8;560.6;330.4;145491;2214;0.373;0.015217436;3.464853841
56;644;4;11;P-;M28;20;11;246.9;684.6;514.4;276560;2938;0.403;0.010623373;2.772365362
56;643;4;10;P-;M28;20;11;317.3;663.3;466.5;243036;2792;0.392;0.01148801;2.090191753
56;645;4;12;P-;M28;20;11;215.1;688.1;406.5;219670;2706;0.377;0.012318478;3.199316533
4;43;3;7;P-;AH5;21;1;233.4;810.1;436.5;277702;3018;0.383;0.010867765;3.471048212
4;44;3;8;P-;AH5;21;1;151.7;733.6;358.1;206346;2654;0.368;0.012861892;4.836013053
4;45;3;9;P-;AH5;21;1;107.6;636.1;324.1;161908;2298;0.385;0.014193246;5.908931292
28;328;4;10;P+;PH1;21;7;287.2;642.0;518.1;261268;2908;0.388;0.011130334;2.235381364
28;329;4;11;P+;PH1;21;7;265.4;699.2;459.3;252206;3084;0.333;0.012228099;2.634651835
28;330;4;12;P+;PH1;21;7;164.7;709.7;386.0;215128;2840;0.335;0.013201443;4.309440241
37;433;3;7;P-;AH5;21;9;300.6;992.4;511.6;398782;3996;0.314;0.010020512;3.301976377
37;434;3;8;P-;AH5;21;9;133.5;889.0;503.2;351355;3896;0.291;0.0110885;6.660555476
37;435;3;9;P-;AH5;21;9;85.9;680.1;315.5;168510;2912;0.25;0.017280874;7.918262793
35;403;1;1;P-;M24;22;8;291.5;752.2;466.1;275337;3128;0.354;0.011360624;2.580470969
35;404;1;2;P-;M24;22;8;199.3;711.5;450.8;251918;2972;0.358;0.01179749;3.570498763
35;405;1;3;P-;M24;22;8;98.8;712.1;415.5;232371;3150;0.294;0.013555908;7.206778598
2;20;3;8;P+;PH8;23;1;138.9;543.4;420.9;179647;2692;0.312;0.014984943;3.912670296
2;19;3;7;P+;PH8;23;1;167.6;553.0;381.7;165791;2500;0.333;0.015079226;3.298632736
2;21;3;9;P+;PH8;23;1;246.5;532.6;357.2;149407;2530;0.293;0.016933611;2.160500738
9;103;4;10;P-;AH5;23;2;274.0;560.8;395.5;174226;2350;0.396;0.013488228;2.046853844
9;104;4;11;P-;AH5;23;2;198.9;626.4;324.5;159626;2482;0.326;0.015548845;3.14904506
9;105;4;12;P-;AH5;23;2;141.4;548.3;284.0;122322;2326;0.284;0.019015386;3.878460581
38;440;1;2;P-;AH6;23;7;208.2;842.2;547.7;362261;3626;0.346;0.010009358;4.0443055
38;439;1;1;P-;AH6;23;7;258.2;745.0;535.9;313582;3140;0.4;0.01001333;2.885176321
38;441;1;3;P-;AH6;23;7;137.1;790.5;467.2;290072;3330;0.329;0.011479908;5.765094553
45;511;1;1;P+;PH1;23;9;306.4;579.8;411.2;187245;2628;0.341;0.014035088;1.892166717
45;512;1;2;P+;PH1;23;9;283.3;611.9;418.1;200912;2902;0.3;0.014444135;2.159931519
45;513;1;3;P+;PH1;23;9;198.2;610.2;332.8;159471;2742;0.267;0.017194349;3.078974856
47;538;2;4;P+;PH8;23;9;123.1;573.6;465.0;209492;2884;0.317;0.013766635;4.65942082
47;539;2;5;P+;PH8;23;9;203.0;608.7;455.9;217932;3114;0.282;0.014288861;2.998207011
47;540;2;6;P+;PH8;23;9;111.7;566.8;367.9;163795;2492;0.331;0.01521414;5.075122668
29;341;4;11;P-;M28;24;7;310.2;532.8;372.4;155842;2278;0.377;0.014617369;1.717458783
29;340;4;10;P-;M28;24;7;303.7;477.9;345.2;129557;1904;0.449;0.014696234;1.573338162
29;342;4;12;P-;M28;24;7;289.9;542.2;330.9;140898;2242;0.352;0.01591222;1.870402186
12;133;2;4;P+;PH3;25;3;138.4;502.3;370.1;146000;2212;0.375;0.015150685;3.628996836
12;134;2;5;P+;PH3;25;3;129.3;528.4;373.0;154811;2438;0.327;0.015748235;4.085826954
12;135;2;6;P+;PH3;25;3;123.1;530.3;312.8;130273;2152;0.353;0.016519156;4.306565431
34;391;1;1;P-;M28;25;8;269.2;653.8;493.7;253522;2848;0.393;0.011233739;2.42857249
34;392;1;2;P-;M28;25;8;242.8;660.2;453.6;235188;2784;0.381;0.011837339;2.718752703
34;393;1;3;P-;M28;25;8;190.2;598.6;364.4;171305;2372;0.383;0.013846648;3.148103935
44;508;4;10;P-;M28;25;8;242.2;648.1;492.5;250671;2770;0.411;0.011050341;2.676072971
44;509;4;11;P-;M28;25;8;205.8;680.1;463.5;247589;2854;0.382;0.011527168;3.304403805
44;510;4;12;P-;M28;25;8;196.5;564.4;349.8;155057;2256;0.383;0.014549488;2.873025083
33;382;2;4;P+;PH8;25;8;157.5;593.3;426.5;198765;2848;0.308;0.014328478;3.766706027
33;383;2;5;P+;PH8;25;8;108.2;527.9;359.8;149158;2362;0.336;0.015835557;4.879063491
33;384;2;6;P+;PH8;25;8;93.4;502.4;318.1;125521;2204;0.325;0.017558815;5.376470211
55;632;4;12;P+;PH3;25;11;181.4;690.6;488.2;264785;3076;0.352;0.011616972;3.807967578
55;631;4;11;P+;PH3;25;11;252.7;620.9;475.1;231682;2766;0.381;0.011938778;2.456486303
55;633;4;12;P+;PH3;25;11;207.4;490.6;360.2;138775;2060;0.411;0.014844172;2.365856011
12;137;3;8;P+;PH2;26;3;274.9;586.4;395.7;182230;2590;0.341;0.014212808;2.132713075
12;138;3;9;P+;PH2;26;3;203.4;619.4;419.6;204146;2922;0.3;0.014313286;3.04484457
12;136;3;7;P+;PH2;26;3;234.5;557.1;379.4;165981;2558;0.319;0.015411403;2.375431729
51;587;2;5;P+;PH2;26;10;194.3;714.6;490.8;275436;3256;0.326;0.011821258;3.677214506
51;588;2;6;P+;PH2;26;10;147.2;770.6;485.6;293935;3516;0.299;0.011961828;5.236921864
51;586;2;4;P+;PH2;26;10;218.2;626.2;417.9;205494;2744;0.343;0.013353188;2.869901595
40;471;4;12;P-;M28;27;6;212.9;424.5;248.0;82696;1736;0.345;0.020992551;1.994161112
